BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Abschoepfung_in_CHF;Auszahlung_Mindestausstattung_in_CHF;Lastenausgleich_Sozialhilfe_in_CHF;Lastenausgleich_Flaeche_in_CHF;Lastenausgleich_Besondere_Belastungen_in_CHF;Auszahlung_Abschoepfung_in_CHF
4881;Amlikon-Bissegg;2015; ;-85533; ;-208334;-30000;-323867
4461;Amriswil;2015; ;-2647107;-101592; ;;-2748699
4401;Arbon;2015;;-209790;-1230768; ;-250000;-1690558
4536;Basadingen-Schlattingen;2015; ;-56147; ;-102005;;-158152
4891;Berg;2015; ;; ; ;;
4801;Berlingen;2015;34487;; ; ;;34487
4716;Bettwiesen;2015;3797;; ; ;;3797
4721;Bichelsee-Balterswil ;2015; ;; ; ;;
4901;Birwinken;2015; ;-470557; ;-154215;;-624772
4471;Bischofszell;2015; ;; ; ;;
4643;Bottighofen;2015;805418;;-16928; ;;788490
4723;Braunau;2015; ;-78822; ;-69460;;-148282
4911;BŸrglen ;2015; ;;-28536; ;;-28536
4921;Bussnang;2015;45569;; ;-101706;;-56137
4545;Diessenhofen;2015;10617;;-85104; ;;-74487
4406;Dozwil;2015; ;-48850; ; ;;-48850
4411;Egnach;2015; ;; ; ;;
4476;Erlen;2015; ;-448920; ; ;;-448920
4646;Ermatingen;2015;278111;; ; ;;278111
4806;Eschenz;2015; ;; ;-61898;;-61898
4724;Eschlikon;2015; ;; ; ;;
4561;Felben-Wellhausen;2015; ;; ; ;;
4726;Fischingen;2015; ;-19735;-20504;-471592;-125000;-636831
4566;Frauenfeld ;2015;573709;;-976360; ;;-402651
4571;Gachnang;2015;30160;; ; ;;30160
4651;Gottlieben;2015;69186;; ; ;;69186
4656;GŸttingen;2015; ;; ; ;;
4486;Hauptwil-Gottshaus;2015; ;-191004; ; ;;-191004
4416;Hefenhofen;2015; ;-121057;-39328; ;;-160385
4811;Herdern;2015; ;; ;-202446;;-202446
4495;Hohentannen;2015; ;-170876; ;-127098;;-297974
4816;Homburg;2015; ;; ;-347760;;-347760
4421;Horn;2015;223176;; ; ;;223176
4590;HŸttlingen;2015; ;-156186; ;-120412;;-276598
4821;HŸttwilen;2015; ;; ;-131296;;-131296
4666;Kemmental;2015; ;; ;-340950;;-340950
4426;Kesswil;2015;2308;; ; ;;2308
4501;Kradolf-Schšnenberg;2015; ;-493260; ; ;;-493260
4671;Kreuzlingen;2015;159089;;-1354624; ;;-1195535
4681;Langrickenbach;2015; ;-326238;-20224;-116288;;-462750
4683;Lengwil;2015; ;; ; ;;
4741;Lommis;2015; ;; ;-27393;;-27393
4826;Mammern;2015;42385;; ;-34960;;7425
4941;MŠrstetten;2015; ;; ; ;;
4591;Matzingen;2015; ;-5780;; ;;-5780
4831;MŸllheim;2015; ;-16933; ; ;;-16933
4746;MŸnchwilen;2015; ;; ; ;;
4691;MŸnsterlingen;2015;184213;; ; ;;184213
4601;Neunforn;2015;38711;; ;-84732;;-46021
4841;Pfyn ;2015; ;-67624; ;-44758;;-112382
4846;Raperswilen;2015; ;-93708; ;-103983;;-197691
4751;Rickenbach;2015; ;;-195264; ;;-195264
4431;Roggwil;2015;58053;; ; ;;58053
4436;Romanshorn;2015; ;-225941; ; ;;-225941
4851;Salenstein;2015;472309;; ; ;;472309
4441;Salmsach;2015; ;-329123; ; ;;-329123
4546;Schlatt ;2015; ;-53084; ;-94645;;-147729
4756;Schšnholzerswilen;2015; ;-301106; ;-106967;;-408073
4761;Sirnach ;2015; ;; ; ;;
4446;Sommeri;2015; ;-140156; ;-47748;;-187904
4864;Steckborn;2015; ;; ; ;;
4606;Stettfurt;2015;48756;; ; ;;48756
4506;Sulgen;2015; ;-49113; ; ;;-49113
4696;TŠgerwilen;2015;160164;; ; ;;160164
4611;Thundorf;2015; ;; ;-192685;;-192685
4776;Tobel-TŠgerschen;2015; ;-298838; ; ;;-298838
4616;Uesslingen-Buch;2015; ;; ;-212775;;-212775
4451;Uttwil;2015;60265;; ; ;;60265
4871;Wagenhausen ;2015; ;-218874; ;-28549;;-247423
4701;WŠldi ;2015; ;; ;-142140;;-142140
