BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Auszahlung_Abschoepfung_in_CHF;Auszahlung_Abschoepfung_in_CHF_pro_Einwohner;;;;;;
4561;Felben-Wellhausen;2015;;;;;;;;
4726;Fischingen;2015;-636831;-248;;;;;;
4566;Frauenfeld;2015;-402651;-16;;;;;;
4571;Gachnang;2015;30160;8;;;;;;
4651;Gottlieben;2015;69186;231;;;;;;
4656;Guettingen;2015;;;;;;;;
4486;Hauptwil-Gottshaus;2015;-191004;-100;;;;;;
4416;Hefenhofen;2015;-160385;-131;;;;;;
4811;Herdern;2015;-202446;-207;;;;;;
4495;Hohentannen;2015;-297974;-485;;;;;;
4816;Homburg;2015;-347760;-230;;;;;;
4421;Horn;2015;223176;87;;;;;;
4590;Huettlingen;2015;-276598;-333;;;;;;
4821;Huettwilen;2015;-131296;-81;;;;;;
4666;Kemmental;2015;-340950;-145;;;;;;
4426;Kesswil;2015;2308;2;;;;;;
4501;Kradolf-Schoenenberg;2015;-493260;-140;;;;;;
4671;Kreuzlingen;2015;-1195535;-56;;;;;;
4681;Langrickenbach;2015;-462750;-366;;;;;;
4683;Lengwil;2015;;;;;;;;
4741;Lommis;2015;-27393;-23;;;;;;
4826;Mammern;2015;7425;12;;;;;;
4941;Maerstetten;2015;;0;;;;;;
4591;Matzingen;2015;-5780;-2;;;;;;
4831;Muellheim;2015;-16933;-6;;;;;;
4746;Muenchwilen;2015;;;;;;;;
4691;Muensterlingen;2015;184213;59;;;;;;
4601;Neunforn;2015;-46021;-50;;;;;;
4841;Pfyn;2015;-112382;-58;;;;;;
4846;Raperswilen;2015;-197691;-481;;;;;;
4751;Rickenbach;2015;-195264;-72;;;;;;
4431;Roggwil;2015;58053;20;;;;;;
4436;Romanshorn;2015;-225941;-21;;;;;;
4851;Salenstein;2015;472309;365;;;;;;
4441;Salmsach;2015;-329123;-238;;;;;;
4546;Schlatt;2015;-147729;-90;;;;;;
4756;Schoenholzerswilen;2015;-408073;-513;;;;;;
4761;Sirnach;2015;;;;;;;;
4446;Sommeri;2015;-187904;-362;;;;;;
4864;Steckborn;2015;;;;;;;;
4606;Stettfurt;2015;48756;42;;;;;;
4506;Sulgen;2015;-49113;-14;;;;;;
4696;Taegerwilen;2015;160164;37;;;;;;
4611;Thundorf;2015;-192685;-137;;;;;;
4776;Tobel-Taegerschen;2015;-298838;-198;;;;;;
4616;Uesslingen-Buch;2015;-212775;-197;;;;;;
4451;Uttwil;2015;60265;33;;;;;;
4871;Wagenhausen;2015;-247423;-150;;;;;;
4701;Waeldi;2015;-142140;-138;;;;;;
4781;Waengi;2015;;;;;;;;
4621;Warth-Weiningen;2015;251383;204;;;;;;
4946;Weinfelden;2015;33364;3;;;;;;
4951;Wigoltingen;2015;-129177;-56;;;;;;
4786;Wilen;2015;;;;;;;;
4791;Wuppenau;2015;-440273;-393;;;;;;
4511;Zihlschlacht-Sitterdorf;2015;447134;202;;;;;;
4551;Aadorf;2014;;;;;;;;
4711;Affeltrangen;2014;-146323;-61;;;;;;
4641;Altnau;2014;;;;;;;;
4881;Amlikon-Bissegg;2014;-410247;-315;;;;;;
4461;Amriswil;2014;-2864581;-227;;;;;;
4401;Arbon;2014;-1573943;-112;;;;;;
4536;Basadingen-Schlattingen;2014;-149903;-86;;;;;;
4891;Berg;2014;;0;;;;;;
4801;Berlingen;2014;34806;40;;;;;;
4716;Bettwiesen;2014;8340;7;;;;;;
4721;Bichelsee-Balterswil;2014;;;;;;;;
4901;Birwinken;2014;-534307;-406;;;;;;
4471;Bischofszell;2014;;;;;;;;
4643;Bottighofen;2014;714170;337;;;;;;
4723;Braunau;2014;-234501;-323;;;;;;
4911;Buerglen;2014;;;;;;;;
4921;Bussnang;2014;-123413;-57;;;;;;
4545;Diessenhofen;2014;-97691;-28;;;;;;
4406;Dozwil;2014;-45783;-69;;;;;;
4411;Egnach;2014;;;;;;;;
4476;Erlen;2014;-433326;-133;;;;;;
4646;Ermatingen;2014;268188;87;;;;;;
4806;Eschenz;2014;-73198;-44;;;;;;
4724;Eschlikon;2014;;;;;;;;
4561;Felben-Wellhausen;2014;;;;;;;;
4726;Fischingen;2014;-811816;-320;;;;;;
4566;Frauenfeld;2014;-297997;-12;;;;;;
4571;Gachnang;2014;46315;13;;;;;;
4651;Gottlieben;2014;51193;170;;;;;;
4656;Guettingen;2014;;;;;;;;
4486;Hauptwil-Gottshaus;2014;-256529;-135;;;;;;
4416;Hefenhofen;2014;-291347;-236;;;;;;
4811;Herdern;2014;-204102;-207;;;;;;
4495;Hohentannen;2014;-306374;-496;;;;;;
4816;Homburg;2014;-339480;-230;;;;;;
4421;Horn;2014;217987;84;;;;;;
4590;Huettlingen;2014;-268140;-328;;;;;;
4821;Huettwilen;2014;-186325;-118;;;;;;
4666;Kemmental;2014;-353467;-153;;;;;;
4426;Kesswil;2014;2096;2;;;;;;
4501;Kradolf-Schoenenberg;2014;-505246;-151;;;;;;
4671;Kreuzlingen;2014;-1031030;-50;;;;;;
4681;Langrickenbach;2014;-479355;-392;;;;;;
4683;Lengwil;2014;-11856;-8;;;;;;
4741;Lommis;2014;-40227;-35;;;;;;
4826;Mammern;2014;-7348;-12;;;;;;
4941;Maerstetten;2014;;;;;;;;
4591;Matzingen;2014;;;;;;;;
4831;Muellheim;2014;;;;;;;;
4746;Muenchwilen;2014;;;;;;;;
4691;Muensterlingen;2014;167402;54;;;;;;
4601;Neunforn;2014;-103926;-109;;;;;;
4841;Pfyn;2014;-153838;-80;;;;;;
4846;Raperswilen;2014;-163331;-416;;;;;;
4751;Rickenbach;2014;-86016;-32;;;;;;
4431;Roggwil;2014;80040;28;;;;;;
4436;Romanshorn;2014;-370443;-36;;;;;;
4851;Salenstein;2014;421617;327;;;;;;
4441;Salmsach;2014;-299602;-223;;;;;;
4546;Schlatt;2014;-205161;-126;;;;;;
4756;Schoenholzerswilen;2014;-489644;-595;;;;;;
4761;Sirnach;2014;;0;;;;;;
4446;Sommeri;2014;-163115;-323;;;;;;
4864;Steckborn;2014;-29080;-8;;;;;;
4606;Stettfurt;2014;55958;49;;;;;;
4506;Sulgen;2014;;0;;;;;;
4696;Taegerwilen;2014;130972;31;;;;;;
4611;Thundorf;2014;-228068;-170;;;;;;
4776;Tobel-Taegerschen;2014;-173366;-119;;;;;;
4616;Uesslingen-Buch;2014;-197616;-184;;;;;;
4451;Uttwil;2014;48466;27;;;;;;
4871;Wagenhausen;2014;-313846;-189;;;;;;
